case_id,execution_id,scenario_id,domain,mode,model_gate,delta_score,delta_band,computed_gate,delta_gate_mismatch,drd,dzr,delta_zero_ready,hard_blocks,trajectory_status,velocity_ready,acceleration_ready,candidate_tokens_v0_3,source_type
EXT-EVAL-B01H-001,tic_si_itsm_01__pure_gpt,tic_si_itsm_01,TIC/SI / ITSM,PURE_GPT,INSUFFICIENT_EVIDENCE,0.4923,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4561,0.5439,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-002,tic_si_itsm_01__stack_gpt,tic_si_itsm_01,TIC/SI / ITSM,STACK_GPT,INSUFFICIENT_EVIDENCE,0.4439,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.439,0.561,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-003,tic_si_itsm_01__casulo_exocortex_stack,tic_si_itsm_01,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.4923,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4561,0.5439,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-004,tic_si_itsm_02__pure_gpt,tic_si_itsm_02,TIC/SI / ITSM,PURE_GPT,BLOCKED,0.3635,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3339,0.6661,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-005,tic_si_itsm_02__stack_gpt,tic_si_itsm_02,TIC/SI / ITSM,STACK_GPT,HOLD_HUMAN_REVIEW,0.2545,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2366,0.7634,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-006,tic_si_itsm_02__casulo_exocortex_stack,tic_si_itsm_02,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,BLOCKED,0.3866,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3712,0.6288,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-007,vesselflow_operacao_maritima_01__pure_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,PURE_GPT,INSUFFICIENT_EVIDENCE,0.4192,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4144,0.5856,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-008,vesselflow_operacao_maritima_01__stack_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,STACK_GPT,HOLD_HUMAN_REVIEW,0.2876,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.28,0.72,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-009,vesselflow_operacao_maritima_01__casulo_exocortex_stack,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.3697,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3678,0.6322,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-010,vesselflow_operacao_maritima_02__pure_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,PURE_GPT,HOLD_HUMAN_REVIEW,0.2736,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2751,0.7249,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-011,vesselflow_operacao_maritima_02__stack_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,STACK_GPT,BLOCKED,0.3512,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3295,0.6705,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-012,vesselflow_operacao_maritima_02__casulo_exocortex_stack,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,0.2299,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2279,0.7721,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-013,juridico_escritorio_01__pure_gpt,juridico_escritorio_01,Jurídico / Escritório,PURE_GPT,INSUFFICIENT_EVIDENCE,0.3153,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3301,0.6699,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-014,juridico_escritorio_01__stack_gpt,juridico_escritorio_01,Jurídico / Escritório,STACK_GPT,INSUFFICIENT_EVIDENCE,0.3599,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3617,0.6383,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-015,juridico_escritorio_01__casulo_exocortex_stack,juridico_escritorio_01,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.3153,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3301,0.6699,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-016,juridico_escritorio_02__pure_gpt,juridico_escritorio_02,Jurídico / Escritório,PURE_GPT,INSUFFICIENT_EVIDENCE,0.5168,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4648,0.5352,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-017,juridico_escritorio_02__stack_gpt,juridico_escritorio_02,Jurídico / Escritório,STACK_GPT,INSUFFICIENT_EVIDENCE,0.3621,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3466,0.6534,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-018,juridico_escritorio_02__casulo_exocortex_stack,juridico_escritorio_02,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,0.4444,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.0,0.3216,0.6784,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-019,financeiro_administrativo_01__pure_gpt,financeiro_administrativo_01,Financeiro / Administrativo,PURE_GPT,HOLD_HUMAN_REVIEW,0.2274,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2403,0.7597,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-020,financeiro_administrativo_01__stack_gpt,financeiro_administrativo_01,Financeiro / Administrativo,STACK_GPT,HOLD_HUMAN_REVIEW,0.3193,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.0,0.2615,0.7385,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-021,financeiro_administrativo_01__casulo_exocortex_stack,financeiro_administrativo_01,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.4395,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4375,0.5625,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-022,financeiro_administrativo_02__pure_gpt,financeiro_administrativo_02,Financeiro / Administrativo,PURE_GPT,INSUFFICIENT_EVIDENCE,0.4823,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4526,0.5474,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-023,financeiro_administrativo_02__stack_gpt,financeiro_administrativo_02,Financeiro / Administrativo,STACK_GPT,INSUFFICIENT_EVIDENCE,0.48,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4518,0.5482,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-024,financeiro_administrativo_02__casulo_exocortex_stack,financeiro_administrativo_02,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.4799,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4517,0.5483,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-025,pequenos_negocios_de_campo_01__pure_gpt,pequenos_negocios_de_campo_01,Pequenos negócios de campo,PURE_GPT,INSUFFICIENT_EVIDENCE,0.3406,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.339,0.661,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-026,pequenos_negocios_de_campo_01__stack_gpt,pequenos_negocios_de_campo_01,Pequenos negócios de campo,STACK_GPT,INSUFFICIENT_EVIDENCE,0.4013,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4081,0.5919,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-027,pequenos_negocios_de_campo_01__casulo_exocortex_stack,pequenos_negocios_de_campo_01,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.3685,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3965,0.6035,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-028,pequenos_negocios_de_campo_02__pure_gpt,pequenos_negocios_de_campo_02,Pequenos negócios de campo,PURE_GPT,INSUFFICIENT_EVIDENCE,0.4767,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4347,0.5653,False,blocked_state_or_production_block|thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|PRODUCTION_BLOCKED|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-029,pequenos_negocios_de_campo_02__stack_gpt,pequenos_negocios_de_campo_02,Pequenos negócios de campo,STACK_GPT,INSUFFICIENT_EVIDENCE,0.3183,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3312,0.6688,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-030,pequenos_negocios_de_campo_02__casulo_exocortex_stack,pequenos_negocios_de_campo_02,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.474,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4496,0.5504,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-031,governanca_documental_01__pure_gpt,governanca_documental_01,Governança documental,PURE_GPT,INSUFFICIENT_EVIDENCE,0.4539,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4426,0.5574,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-032,governanca_documental_01__stack_gpt,governanca_documental_01,Governança documental,STACK_GPT,INSUFFICIENT_EVIDENCE,0.4988,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4584,0.5416,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-033,governanca_documental_01__casulo_exocortex_stack,governanca_documental_01,Governança documental,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.4548,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4429,0.5571,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-034,governanca_documental_02__pure_gpt,governanca_documental_02,Governança documental,PURE_GPT,HOLD_HUMAN_REVIEW,0.2303,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2122,0.7878,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-035,governanca_documental_02__stack_gpt,governanca_documental_02,Governança documental,STACK_GPT,HOLD_HUMAN_REVIEW,0.2073,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2199,0.7801,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-036,governanca_documental_02__casulo_exocortex_stack,governanca_documental_02,Governança documental,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,0.2252,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2262,0.7738,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
