case_id,execution_id,scenario_id,domain,mode,state_payload_id,risk_level,evidence_level,gate,review_ready,latency_ms,full_output_length,evidence_sufficiency,self_evidence_grounding_score,self_state_completeness_score,self_unsupported_claim_count,self_missing_evidence_claim_count,self_gate_violation_count,self_manual_arbitration_needed_count,self_false_memory_risk,self_context_regression_count,candidate_token_count,candidate_tokens,pre_external_priority_score,pre_external_ohri_proxy,pre_external_oqi_proxy,pre_external_zpi_proxy,final_indices_ready
EXT-EVAL-B01H-001,tic_si_itsm_01__pure_gpt,tic_si_itsm_01,TIC/SI / ITSM,PURE_GPT,P0STATE-EXT-EVAL-B01H-001,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,7990,646,insufficient,1,1,0,5,0,1,HIGH,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,0.572,0.528,0.68,0.7892,False
EXT-EVAL-B01H-002,tic_si_itsm_01__stack_gpt,tic_si_itsm_01,TIC/SI / ITSM,STACK_GPT,P0STATE-EXT-EVAL-B01H-002,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,6303,623,insufficient,1,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.452,0.4213,0.68,0.7896,False
EXT-EVAL-B01H-003,tic_si_itsm_01__casulo_exocortex_stack,tic_si_itsm_01,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-003,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,6512,691,insufficient,1,1,0,4,0,1,HIGH,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,0.572,0.528,0.68,0.7885,False
EXT-EVAL-B01H-004,tic_si_itsm_02__pure_gpt,tic_si_itsm_02,TIC/SI / ITSM,PURE_GPT,P0STATE-EXT-EVAL-B01H-004,HIGH,PARTIAL,BLOCKED,True,8595,651,partial,4,2,0,1,0,1,MEDIUM,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,0.356,0.2653,0.86,0.8992,False
EXT-EVAL-B01H-005,tic_si_itsm_02__stack_gpt,tic_si_itsm_02,TIC/SI / ITSM,STACK_GPT,P0STATE-EXT-EVAL-B01H-005,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,10085,705,partial,4,1,0,1,0,1,MEDIUM,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|TIC_MESH_LOCKED,0.38,0.2653,0.83,0.8782,False
EXT-EVAL-B01H-006,tic_si_itsm_02__casulo_exocortex_stack,tic_si_itsm_02,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-006,HIGH,THIN,BLOCKED,True,10422,665,insufficient,4,1,0,1,0,1,MEDIUM,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,0.38,0.2653,0.83,0.8789,False
EXT-EVAL-B01H-007,vesselflow_operacao_maritima_01__pure_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,PURE_GPT,P0STATE-EXT-EVAL-B01H-007,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,8982,707,insufficient,2,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.428,0.3893,0.73,0.8182,False
EXT-EVAL-B01H-008,vesselflow_operacao_maritima_01__stack_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,STACK_GPT,P0STATE-EXT-EVAL-B01H-008,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,9546,693,partial,2,1,0,1,0,1,MEDIUM,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.428,0.3293,0.73,0.8185,False
EXT-EVAL-B01H-009,vesselflow_operacao_maritima_01__casulo_exocortex_stack,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-009,MEDIUM_HIGH,PARTIAL,INSUFFICIENT_EVIDENCE,True,7010,668,partial,2,1,0,1,0,1,MEDIUM,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.428,0.3293,0.73,0.8189,False
EXT-EVAL-B01H-010,vesselflow_operacao_maritima_02__pure_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,PURE_GPT,P0STATE-EXT-EVAL-B01H-010,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,4943,641,partial,2,1,0,0,0,1,MEDIUM,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.368,0.276,0.73,0.8193,False
EXT-EVAL-B01H-011,vesselflow_operacao_maritima_02__stack_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,STACK_GPT,P0STATE-EXT-EVAL-B01H-011,HIGH,PARTIAL,BLOCKED,True,7559,609,partial,4,2,0,1,0,1,MEDIUM,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.356,0.2653,0.86,0.8999,False
EXT-EVAL-B01H-012,vesselflow_operacao_maritima_02__casulo_exocortex_stack,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-012,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,6565,630,partial,4,2,0,0,0,1,MEDIUM,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.296,0.212,0.86,0.8995,False
EXT-EVAL-B01H-013,juridico_escritorio_01__pure_gpt,juridico_escritorio_01,Jurídico / Escritório,PURE_GPT,P0STATE-EXT-EVAL-B01H-013,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,13571,715,insufficient,5,2,0,1,0,0,LOW,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.132,0.1913,0.91,0.9281,False
EXT-EVAL-B01H-014,juridico_escritorio_01__stack_gpt,juridico_escritorio_01,Jurídico / Escritório,STACK_GPT,P0STATE-EXT-EVAL-B01H-014,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,5894,788,insufficient,4,2,0,1,0,1,MEDIUM,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.356,0.2653,0.86,0.8969,False
EXT-EVAL-B01H-015,juridico_escritorio_01__casulo_exocortex_stack,juridico_escritorio_01,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-015,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,12548,670,insufficient,5,2,0,1,0,0,LOW,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.212,0.1913,0.91,0.9288,False
EXT-EVAL-B01H-016,juridico_escritorio_02__pure_gpt,juridico_escritorio_02,Jurídico / Escritório,PURE_GPT,P0STATE-EXT-EVAL-B01H-016,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,5161,827,missing,1,1,0,5,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.572,0.528,0.68,0.7862,False
EXT-EVAL-B01H-017,juridico_escritorio_02__stack_gpt,juridico_escritorio_02,Jurídico / Escritório,STACK_GPT,P0STATE-EXT-EVAL-B01H-017,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,10259,786,insufficient,5,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.356,0.2933,0.88,0.9069,False
EXT-EVAL-B01H-018,juridico_escritorio_02__casulo_exocortex_stack,juridico_escritorio_02,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-018,MEDIUM_HIGH,THIN,HOLD_HUMAN_REVIEW,True,8320,811,insufficient,1,1,0,3,0,1,HIGH,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.572,0.528,0.68,0.7865,False
EXT-EVAL-B01H-019,financeiro_administrativo_01__pure_gpt,financeiro_administrativo_01,Financeiro / Administrativo,PURE_GPT,P0STATE-EXT-EVAL-B01H-019,MEDIUM_HIGH,THIN,HOLD_HUMAN_REVIEW,True,7253,628,insufficient,5,2,0,1,0,1,LOW,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.332,0.1913,0.91,0.9295,False
EXT-EVAL-B01H-020,financeiro_administrativo_01__stack_gpt,financeiro_administrativo_01,Financeiro / Administrativo,STACK_GPT,P0STATE-EXT-EVAL-B01H-020,MEDIUM_HIGH,THIN,HOLD_HUMAN_REVIEW,True,5921,635,insufficient,2,1,0,1,0,1,MEDIUM,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.428,0.3293,0.73,0.8194,False
EXT-EVAL-B01H-021,financeiro_administrativo_01__casulo_exocortex_stack,financeiro_administrativo_01,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-021,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,4216,669,missing,1,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.452,0.4213,0.68,0.7889,False
EXT-EVAL-B01H-022,financeiro_administrativo_02__pure_gpt,financeiro_administrativo_02,Financeiro / Administrativo,PURE_GPT,P0STATE-EXT-EVAL-B01H-022,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,10198,819,missing,1,0,0,4,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.596,0.528,0.65,0.7663,False
EXT-EVAL-B01H-023,financeiro_administrativo_02__stack_gpt,financeiro_administrativo_02,Financeiro / Administrativo,STACK_GPT,P0STATE-EXT-EVAL-B01H-023,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,7405,845,insufficient,1,1,0,4,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.572,0.528,0.68,0.7859,False
EXT-EVAL-B01H-024,financeiro_administrativo_02__casulo_exocortex_stack,financeiro_administrativo_02,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-024,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,5449,687,missing,1,1,0,4,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.572,0.528,0.68,0.7885,False
EXT-EVAL-B01H-025,pequenos_negocios_de_campo_01__pure_gpt,pequenos_negocios_de_campo_01,Pequenos negócios de campo,PURE_GPT,P0STATE-EXT-EVAL-B01H-025,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,9896,856,insufficient,5,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.356,0.2933,0.88,0.9057,False
EXT-EVAL-B01H-026,pequenos_negocios_de_campo_01__stack_gpt,pequenos_negocios_de_campo_01,Pequenos negócios de campo,STACK_GPT,P0STATE-EXT-EVAL-B01H-026,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,8312,834,insufficient,2,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.428,0.3893,0.73,0.8161,False
EXT-EVAL-B01H-027,pequenos_negocios_de_campo_01__casulo_exocortex_stack,pequenos_negocios_de_campo_01,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-027,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,9567,682,insufficient,2,1,0,1,0,0,MEDIUM,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.228,0.3293,0.73,0.8186,False
EXT-EVAL-B01H-028,pequenos_negocios_de_campo_02__pure_gpt,pequenos_negocios_de_campo_02,Pequenos negócios de campo,PURE_GPT,P0STATE-EXT-EVAL-B01H-028,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,9029,831,insufficient,2,1,0,3,0,1,HIGH,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|PRODUCTION_BLOCKED|READ_ONLY_STATE,0.548,0.496,0.73,0.8162,False
EXT-EVAL-B01H-029,pequenos_negocios_de_campo_02__stack_gpt,pequenos_negocios_de_campo_02,Pequenos negócios de campo,STACK_GPT,P0STATE-EXT-EVAL-B01H-029,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,8747,746,insufficient,5,1,0,0,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.296,0.24,0.88,0.9076,False
EXT-EVAL-B01H-030,pequenos_negocios_de_campo_02__casulo_exocortex_stack,pequenos_negocios_de_campo_02,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-030,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,8541,717,missing,1,1,0,4,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.572,0.528,0.68,0.7881,False
EXT-EVAL-B01H-031,governanca_documental_01__pure_gpt,governanca_documental_01,Governança documental,PURE_GPT,P0STATE-EXT-EVAL-B01H-031,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,4840,714,missing,1,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.452,0.4213,0.68,0.7881,False
EXT-EVAL-B01H-032,governanca_documental_01__stack_gpt,governanca_documental_01,Governança documental,STACK_GPT,P0STATE-EXT-EVAL-B01H-032,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,4004,704,missing,1,2,0,4,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.548,0.528,0.71,0.8083,False
EXT-EVAL-B01H-033,governanca_documental_01__casulo_exocortex_stack,governanca_documental_01,Governança documental,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-033,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,17283,660,missing,1,1,0,1,0,0,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.332,0.4213,0.68,0.789,False
EXT-EVAL-B01H-034,governanca_documental_02__pure_gpt,governanca_documental_02,Governança documental,PURE_GPT,P0STATE-EXT-EVAL-B01H-034,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,7512,733,conflicting,5,2,0,1,0,1,HIGH,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.332,0.2933,0.91,0.9278,False
EXT-EVAL-B01H-035,governanca_documental_02__stack_gpt,governanca_documental_02,Governança documental,STACK_GPT,P0STATE-EXT-EVAL-B01H-035,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,7050,767,conflicting,4,1,0,0,0,1,MEDIUM,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.32,0.212,0.83,0.8772,False
EXT-EVAL-B01H-036,governanca_documental_02__casulo_exocortex_stack,governanca_documental_02,Governança documental,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-036,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,8238,683,conflicting,4,2,0,1,0,1,MEDIUM,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.356,0.2653,0.86,0.8986,False
